1|1|03/19/24 22:00:59|True
2|2|03/19/24 22:01:53|False
3|3|03/19/24 22:02:57|False
4|4|03/19/24 22:04:06|False
5|5|03/20/24 00:00:00|True
6|6|03/19/24 22:06:17|False
7|7|03/20/24 00:04:54|True
8|8|03/20/24 09:47:38|False
9|9|03/20/24 13:19:19|True
10|10|03/20/24 13:37:32|True
11|11|03/20/24 14:28:10|True
12|12|03/20/24 14:38:49|True
13|13|03/21/24 17:34:55|True
14|14|03/21/24 18:14:07|True
15|15|03/21/24 18:28:41|True
16|16|03/21/24 21:17:08|True
17|17|03/22/24 04:14:12|False
18|18|04/19/24 00:00:00|False
19|19|04/09/24 09:00:00|False
20|20|04/09/24 15:00:00|False
21|21|04/09/24 12:00:00|False
